epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4615,1.13592,3.11869,9.10954,1.28751,0,0.0004,0.05556,0.00017,8e-05,0.0004,0.05556,0.00017,0.00012,1.93862,1.28735,7.52341,1.30195,0,0.00021109,0.00021109,0.00021109
2,78.4023,1.13581,2.7794,13.5274,1.21081,0,0.00036,0.05556,0.00026,3e-05,0.00072,0.11111,0.00063,0.0002,1.98537,1.4972,7.93592,1.3401,0,0.000404693,0.000404693,0.000404693
3,122.187,1.31291,2.87267,10.8219,1.29667,0,0.00045,0.11111,0.00031,4e-05,0.00045,0.11111,0.00031,9e-05,2.14152,2.02903,7.60732,1.36636,0,0.000568965,0.000568965,0.000568965
4,162.814,1.33666,2.85266,14.3323,1.28235,0,0.00038,0.11111,0.00086,0.00022,0.00038,0.11111,0.00086,0.00033,2.75275,1.83216,9.42358,1.92563,0,0.000703907,0.000703907,0.000703907
5,204.121,1.58259,2.41287,13.3751,1.34212,0,0.00026,0.05556,0.00026,0.0001,0.00026,0.05556,0.00026,0.0001,3.07905,1.75712,8.15996,2.06849,0,0.000809519,0.000809519,0.000809519
6,253.14,1.36473,2.40221,23.0763,1.17396,0,0.00026,0.05556,0.00029,0.00017,0.00026,0.05556,0.00029,0.00014,2.93489,1.63613,9.25737,1.72129,0,0.00074437,0.00074437,0.00074437
7,299.86,1.25897,1.96603,19.284,1.07984,0,0.00068,0.11111,0.00279,0.00091,0.00068,0.11111,0.00456,0.00175,2.39681,1.72104,8.26695,1.41804,0,0.000671044,0.000671044,0.000671044
8,341.962,1.34487,1.98101,21.9823,1.0501,0,0.0002,0.05556,7e-05,1e-05,0,0,0,0,2.40578,2.30623,7.924,1.61812,0,0.000597718,0.000597718,0.000597718
9,384.372,1.22198,1.74387,22.4198,0.9821,0,0,0,0,0,0,0,0,0,2.58791,2.50083,9.38028,1.97311,0,0.000524392,0.000524392,0.000524392
10,426.639,1.22507,2.45548,17.1168,1.15384,0,0.00065,0.05556,0.00067,0.00027,0.00065,0.05556,0.00067,0.00013,2.23754,1.94918,8.09744,1.77879,0,0.000451066,0.000451066,0.000451066
